index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
67106;3532306;NATIVIDADE DA SERRA;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;4101;0;2010.0;496.93;32.56;8.5;7.72;33.45;3.98;0.655;0.664
67107;2909604;CRISÓPOLIS;BA;1;JOSE MARIA EYMAEL;DC;Presidente;11631;0;2010.0;232.6;70.74;4.61;2.87;17.07;3.16;0.543;0.542
67108;2309201;NOVA OLINDA;CE;1;SOFIA PADUA MANZANO;PCB;Presidente;9671;0;2010.0;272.1;30.42;11.28;4.62;28.41;8.84;0.625;0.567
67109;2309201;NOVA OLINDA;CE;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;9671;0;2010.0;272.1;30.42;11.28;4.62;28.41;8.84;0.625;0.567
67110;1302306;JUTAÍ;AM;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;9225;0;2010.0;214.36;58.88;8.75;2.76;23.23;3.87;0.516;0.528
67111;5005806;NIOAQUE;MS;1;JOSE MARIA EYMAEL;DC;Presidente;7906;0;2010.0;480.75;44.1;8.23;5.15;35.25;6.13;0.639;0.658
67112;5005806;NIOAQUE;MS;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;7906;0;2010.0;480.75;44.1;8.23;5.15;35.25;6.13;0.639;0.658
67113;5005806;NIOAQUE;MS;1;SOFIA PADUA MANZANO;PCB;Presidente;7906;0;2010.0;480.75;44.1;8.23;5.15;35.25;6.13;0.639;0.658
67114;2512721;PEDRO RÉGIS;PB;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;3705;0;2010.0;215.39;54.54;4.92;4.94;30.81;3.69;0.542;0.529
67115;3532702;NIPOÃ;SP;1;JOSE MARIA EYMAEL;DC;Presidente;2855;0;2010.0;628.33;27.76;6.93;6.68;29.25;27.45;0.713;0.701
67116;2701803;CARNEIROS;AL;1;JOSE MARIA EYMAEL;DC;Presidente;5041;0;2010.0;199.58;58.36;7.37;5.28;25.68;0.3;0.526;0.517
67117;2701803;CARNEIROS;AL;1;SOFIA PADUA MANZANO;PCB;Presidente;5041;0;2010.0;199.58;58.36;7.37;5.28;25.68;0.3;0.526;0.517
67118;4207106;ILHOTA;SC;1;JOSE MARIA EYMAEL;DC;Presidente;8814;0;2010.0;853.29;11.26;8.87;6.76;21.57;45.2;0.738;0.75
67119;3532702;NIPOÃ;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;2855;0;2010.0;628.33;27.76;6.93;6.68;29.25;27.45;0.713;0.701
67120;3532702;NIPOÃ;SP;1;SOFIA PADUA MANZANO;PCB;Presidente;2855;0;2010.0;628.33;27.76;6.93;6.68;29.25;27.45;0.713;0.701
67121;2512747;RIACHÃO;PB;1;JOSE MARIA EYMAEL;DC;Presidente;2380;0;2010.0;197.04;40.02;5.81;8.08;33.05;1.25;0.574;0.515
67122;2512747;RIACHÃO;PB;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;2380;0;2010.0;197.04;40.02;5.81;8.08;33.05;1.25;0.574;0.515
67123;2512747;RIACHÃO;PB;1;SOFIA PADUA MANZANO;PCB;Presidente;2380;0;2010.0;197.04;40.02;5.81;8.08;33.05;1.25;0.574;0.515
67124;3145372;NOVORIZONTE;MG;1;JOSE MARIA EYMAEL;DC;Presidente;3207;0;2010.0;299.95;49.64;6.32;6.79;25.34;5.96;0.616;0.582
67125;3145372;NOVORIZONTE;MG;1;KELMON LUIS DA SILVA SOUZA;PTB;Presidente;3207;0;2010.0;299.95;49.64;6.32;6.79;25.34;5.96;0.616;0.582
67126;3145372;NOVORIZONTE;MG;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3207;0;2010.0;299.95;49.64;6.32;6.79;25.34;5.96;0.616;0.582
67127;3145372;NOVORIZONTE;MG;1;SOFIA PADUA MANZANO;PCB;Presidente;3207;0;2010.0;299.95;49.64;6.32;6.79;25.34;5.96;0.616;0.582
67128;3145406;OLARIA;MG;1;JOSE MARIA EYMAEL;DC;Presidente;1704;0;2010.0;423.44;43.49;6.65;8.78;34.45;3.58;0.636;0.638
67129;1302207;JURUÁ;AM;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;5145;0;2010.0;227.39;58.91;4.45;3.45;25.63;1.43;0.522;0.538
67130;3532702;NIPOÃ;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;2855;0;2010.0;628.33;27.76;6.93;6.68;29.25;27.45;0.713;0.701
67131;2102705;CANTANHEDE;MA;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;9746;0;2010.0;176.61;48.69;8.7;6.39;31.2;2.92;0.565;0.497
67132;2102754;CAPINZAL DO NORTE;MA;1;JOSE MARIA EYMAEL;DC;Presidente;6599;0;2010.0;200.15;50.24;6.32;6.45;29.18;1.73;0.537;0.517
67133;2102754;CAPINZAL DO NORTE;MA;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;6599;0;2010.0;200.15;50.24;6.32;6.45;29.18;1.73;0.537;0.517
67134;2909406;COTEGIPE;BA;1;SOFIA PADUA MANZANO;PCB;Presidente;8765;0;2010.0;237.5;55.96;7.5;2.52;27.85;1.95;0.59;0.545
67135;2909406;COTEGIPE;BA;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;8765;0;2010.0;237.5;55.96;7.5;2.52;27.85;1.95;0.59;0.545
67136;2909505;CRAVOLÂNDIA;BA;1;JOSE MARIA EYMAEL;DC;Presidente;2917;0;2010.0;259.87;46.1;10.12;4.28;32.42;1.85;0.599;0.559
67137;2909505;CRAVOLÂNDIA;BA;1;KELMON LUIS DA SILVA SOUZA;PTB;Presidente;2917;0;2010.0;259.87;46.1;10.12;4.28;32.42;1.85;0.599;0.559
67138;2909505;CRAVOLÂNDIA;BA;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;2917;0;2010.0;259.87;46.1;10.12;4.28;32.42;1.85;0.599;0.559
67139;5006259;NOVO HORIZONTE DO SUL;MS;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;2902;0;2010.0;472.75;46.62;8.11;5.87;24.67;13.79;0.649;0.656
